JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458359.107991,166.063192,423021.843750,18.963566
2458359.127281,166.055750,310025.250000,19.300898
2458359.146571,166.048304,289162.468750,19.376453
2458359.165861,166.040855,306315.500000,19.313802
2458359.185151,166.033402,281353.906250,19.406010
2458359.204441,166.025946,322894.468750,19.256408
2458359.223732,166.018487,361266.500000,19.134407
2458359.243022,166.011025,374852.062500,19.094244
2458359.262312,166.003559,378677.468750,19.083137
2458359.281602,165.996090,273587.031250,19.435989
2458359.300892,165.988617,320564.781250,19.263855
2458359.320182,165.981142,390924.312500,19.048330
2458359.339472,165.973663,364536.781250,19.124126
2458359.358762,165.966181,300044.593750,19.335431
2458359.378053,165.958695,324334.562500,19.250830
2458359.397343,165.951206,289939.968750,19.372460
2458359.416633,165.943714,332674.406250,19.223099
2458359.435923,165.936219,330284.406250,19.230844
2458359.455213,165.928720,378757.593750,19.082078
2458359.474503,165.921218,361835.781250,19.131620
2458359.493793,165.913713,332645.156250,19.222862
2458359.513083,165.906205,290522.531250,19.369783
2458359.532374,165.898693,365329.562500,19.120937
2458359.551664,165.891178,429477.125000,18.945216
2458359.570954,165.883660,311204.375000,19.294869
2458359.590244,165.876139,305381.406250,19.315294
2458359.609534,165.868614,306036.593750,19.312884
2458359.628824,165.861086,295594.812500,19.350492
2458359.648114,165.853555,318682.031250,19.268757
2458359.667404,165.846021,378785.187500,19.081086
2458359.686695,165.838483,376676.406250,19.087064
2458359.705985,165.830942,386268.031250,19.059680
2458359.725275,165.823398,277444.250000,19.418879
2458359.744565,165.815851,358553.531250,19.140351
2458359.763855,165.808301,429345.406250,18.944636
2458359.783145,165.800747,341470.718750,19.193186
2458359.802435,165.793190,313804.093750,19.284840
2458359.821725,165.785630,321676.750000,19.257854
2458359.841015,165.778067,295840.687500,19.348675
2458359.860306,165.770500,346334.062500,19.177499
2458359.879596,165.762931,369318.000000,19.107653
2458359.898886,165.755358,402473.531250,19.014227
2458359.918176,165.747782,385379.406250,19.061266
2458359.937466,165.740203,306639.500000,19.309334
2458359.956756,165.732620,309872.375000,19.297864
2458359.976046,165.725035,387111.625000,19.056147
2458359.995336,165.717446,412865.375000,18.986133
2458360.014627,165.709854,313284.406250,19.285724
2458360.033917,165.702259,332656.312500,19.220499
2458360.053207,165.694661,310267.250000,19.296065
2458360.072497,165.687060,335372.781250,19.211502
2458360.091787,165.679455,335950.062500,19.209551
2458360.111077,165.671848,394735.843750,19.034389
2458360.130367,165.664237,380655.218750,19.073742
2458360.149657,165.656623,370837.656250,19.102029
2458360.168948,165.649006,299284.687500,19.334694
2458360.188238,165.641386,374256.468750,19.091899
2458360.207528,165.633762,457081.031250,18.874756
2458360.226818,165.626136,343165.750000,19.185895
2458360.246108,165.618506,321855.687500,19.255419
2458360.265398,165.610873,328805.656250,19.232140
2458360.284688,165.603237,307774.281250,19.303824
2458360.303978,165.595599,344534.531250,19.181240
2458360.323269,165.587956,399341.906250,19.020876
2458360.342559,165.580311,404246.625000,19.007539
2458360.361849,165.572663,412917.031250,18.984415
